Method     , Embedding_Model          , Analysis_Model   , Safe_Train_Samples, Safe_Test_Samples, Toxic_Test_Samples, AUROC             , FPR@95TPR         , AUPRC            , F1                , Seed, Batch_Size, Max_Safe_Samples, Max_Toxic_Samples, Num_Epochs
FORTE_GMM  , Qwen/Qwen3-Embedding-0.6B, facebook/opt-125m,              28000,             12000,                655, 0.5021852417302799, 0.9938931297709923, 0.949406794651689, 0.9734333806030468,   42,         32,            40000,             10000,          1
FORTE_OCSVM, Qwen/Qwen3-Embedding-0.6B, facebook/opt-125m,              28000,             12000,                655, 0.5321319974554707, 1.0               , 0.954042018633922, 0.9734333806030468,   42,         32,            40000,             10000,          1
